Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_28_333,VGND,li1,156.4000,78.8800,0.000001
FILLER_0_28_326,VGND,li1,153.1800,78.8800,0.000001
FILLER_0_28_320,VGND,li1,150.4200,78.8800,0.000001
FILLER_0_28_294,VGND,li1,138.2300,78.8800,0.000000
FILLER_0_28_288,VGND,li1,135.7000,78.8800,0.000000
FILLER_0_28_284,VGND,li1,133.6300,78.8800,0.000000
FILLER_0_28_281,VGND,li1,132.7100,78.8800,0.000000
FILLER_0_28_257,VGND,li1,121.2100,78.8800,0.000000
FILLER_0_28_233,VGND,li1,110.1700,78.8800,0.000000
FILLER_0_28_221,VGND,li1,104.8800,78.8800,0.000000
FILLER_0_28_218,VGND,li1,103.7300,78.8800,0.000000
FILLER_0_28_215,VGND,li1,102.3500,78.8800,0.000000
FILLER_0_28_212,VGND,li1,100.9700,78.8800,0.000000
FILLER_0_28_202,VGND,li1,95.9100,78.8800,0.000000
FILLER_0_28_193,VGND,li1,92.2300,78.8800,0.000000
FILLER_0_28_190,VGND,li1,90.8500,78.8800,0.000000
FILLER_0_28_187,VGND,li1,89.4700,78.8800,0.000000
FILLER_0_28_184,VGND,li1,88.0900,78.8800,0.000000
FILLER_0_28_181,VGND,li1,86.7100,78.8800,0.000000
FILLER_0_28_178,VGND,li1,85.3300,78.8800,0.000000
FILLER_0_28_175,VGND,li1,83.9500,78.8800,0.000000
FILLER_0_28_172,VGND,li1,82.5700,78.8800,0.000000
FILLER_0_28_169,VGND,li1,81.1900,78.8800,0.000000
FILLER_0_28_166,VGND,li1,79.8100,78.8800,0.000000
FILLER_0_28_155,VGND,li1,74.7500,78.8800,0.000000
FILLER_0_28_152,VGND,li1,73.3700,78.8800,0.000000
FILLER_0_28_141,VGND,li1,68.0800,78.8800,0.000000
FILLER_0_28_137,VGND,li1,66.4700,78.8800,0.000000
FILLER_0_28_116,VGND,li1,56.8100,78.8800,0.000000
FILLER_0_28_113,VGND,li1,55.4300,78.8800,0.000000
FILLER_0_28_110,VGND,li1,54.0500,78.8800,0.000000
FILLER_0_28_102,VGND,li1,50.1400,78.8800,0.000000
FILLER_0_28_93,VGND,li1,46.2300,78.8800,0.000000
FILLER_0_28_76,VGND,li1,37.9500,78.8800,0.000000
FILLER_0_28_73,VGND,li1,37.0300,78.8800,0.000000
FILLER_0_28_70,VGND,li1,35.6500,78.8800,0.000000
FILLER_0_28_67,VGND,li1,34.2700,78.8800,0.000000
FILLER_0_28_61,VGND,li1,31.5100,78.8800,0.000000
FILLER_0_28_58,VGND,li1,30.1300,78.8800,0.000000
FILLER_0_28_55,VGND,li1,28.7500,78.8800,0.000000
FILLER_0_28_52,VGND,li1,27.3700,78.8800,0.000000
FILLER_0_28_47,VGND,li1,24.6100,78.8800,0.000000
FILLER_0_28_44,VGND,li1,23.6900,78.8800,0.000000
FILLER_0_28_41,VGND,li1,22.3100,78.8800,0.000000
FILLER_0_28_29,VGND,li1,16.7900,78.8800,0.000000
FILLER_0_28_27,VGND,li1,15.4100,78.8800,0.000000
FILLER_0_28_24,VGND,li1,14.4900,78.8800,0.000000
FILLER_0_28_6,VGND,li1,5.7500,78.8800,0.000000
FILLER_0_28_3,VGND,li1,4.8300,78.8800,0.000000
FILLER_0_27_327,VGND,li1,153.4100,78.8800,0.000001
